"rep","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","mean_margin","median_margin","mean_rho","max_rho","mean_kappa","max_kappa","method_global_ls","method_lss1","method_oasis_voxel","density","n_atoms","n_lags","n_widths","sbhm_rank"
4,0.250781972967668,3.59509285585037,-0.3312966319566,0.0931357590894737,0.553819444444444,TRUE,NA,0.0206995056892177,0.00198445790047819,0.918183425118845,0.94446417486922,239.284548890495,542.109872750522,0,0,16,"very_dense",130,13,10,8
5,0.247281162355892,4.24373780872724,-0.308454846671267,-0.0201226818615152,0.598958333333333,TRUE,NA,0.0446727803818942,0.0442362062291909,0.922851400927792,0.94446417486922,180.746928658842,301.092082917805,0,0,16,"very_dense",130,13,10,8
6,0.240571479569304,3.44374341302983,-0.344206477375579,-0.0688442289370431,0.572916666666667,TRUE,NA,0.0205121132701417,0.00767673100490085,0.932090879078527,0.967045001024824,354.092082474608,1229.24748809809,0,0,16,"very_dense",130,13,10,8
7,0.161396578805429,4.0205967675162,-0.661139192715892,0.109214342617311,0.565972222222222,TRUE,NA,0.0431274126350478,0.0220356122480653,0.920470414645702,0.94446417486922,205.141867387733,337.985540801255,0,0,16,"very_dense",130,13,10,8
8,0.219361571060716,3.83685825916147,-0.54076695083327,0.00751502563962833,0.585069444444444,TRUE,NA,0.0316879263536312,0.0225857126317214,0.920473762249582,0.941970445843637,173.752217126996,298.482035200009,0,0,16,"very_dense",130,13,10,8
9,0.217922630416745,3.68556351455001,-0.392823000354373,-0.0350523351336992,0.565972222222222,TRUE,NA,0.0154102705097863,0.00026756910694703,0.92866653060267,0.967045001024824,352.892177884667,1229.24748809809,0,0,16,"very_dense",130,13,10,8
10,0.208572900088788,5.53661949448703,-0.496416727242852,-0.0651845488180506,0.543402777777778,TRUE,NA,0.0467646002718407,0.0376199428254176,0.927324447692158,0.967045001024824,270.174776137896,1229.24748809809,0,0,16,"very_dense",130,13,10,8
11,0.243917355146182,3.69298106478361,-0.311187188213608,-0.0587824397188537,0.5625,TRUE,NA,0.0358181066510974,0.0145026384632524,0.925311438224696,0.967045001024824,258.702619887966,1229.24748809809,0,0,16,"very_dense",130,13,10,8
12,0.173871654219422,4.42176430415194,-0.428100608162146,-0.00268216665373104,0.559027777777778,TRUE,NA,0.0565146926630031,0.0550364458036037,0.925388636132134,0.967045001024824,247.211854432599,1229.24748809809,0,0,16,"very_dense",130,13,10,8
13,0.25298619786698,3.09550243426146,-0.329655337838656,0.00149118372830732,0.564236111111111,TRUE,NA,0.0334221132651134,0.0118374863592806,0.920753565919308,0.93157805712038,256.927489100166,542.109872750522,0,0,16,"very_dense",130,13,10,8
14,0.24504022383512,3.84488128709965,-0.23100666663206,0.059443837967411,0.585069444444444,TRUE,NA,0.0547626885491238,0.0373478504975871,0.937621519320083,0.980271507637627,294.436157101407,712.876160465609,0,0,16,"very_dense",130,13,10,8
15,0.215732205824904,4.47668726543583,-0.494995388853397,-0.234111750982859,0.559027777777778,TRUE,NA,0.0313487774112124,0.0150828301527839,0.920500929877316,0.941970445843637,206.329787245036,542.109872750522,0,0,16,"very_dense",130,13,10,8
16,0.267064555400757,3.99664301982437,-0.126539366673604,-0.122286475225556,0.59375,TRUE,NA,0.0320252943120841,0.0181685736930483,0.923248446808131,0.97133903182641,274.0069794101,865.816882598689,0,0,16,"very_dense",130,13,10,8
17,0.22930889804709,3.49160331990478,-0.327947406707157,-0.193053475239091,0.595486111111111,TRUE,NA,0.0359595855511817,0.016519195967779,0.920903389762427,0.941970445843637,295.692017976296,1699.19355356371,0,0,16,"very_dense",130,13,10,8
18,0.286343005492219,3.51761036217142,-0.0186077327357277,0.0203570896912935,0.597222222222222,TRUE,NA,0.0443302142034457,0.0161268997286491,0.921335800010172,0.94446417486922,207.36277658817,414.265147672622,0,0,16,"very_dense",130,13,10,8
