"rep","method","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","scenario","hrf_regime","ar_regime","isi_regime","amp_regime","cell","oasis_variant"
1,"hrfals_fit[cf_als]",0.0726615724152218,1.69807249776936,-0.939163153395877,-0.101937854281357,0.560185185185185,TRUE,NA,"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","nominal","ar_high","isi_mid","amp_none","h1_r3_c2",NA
1,"fmrilss_sbhm",0.235353002268104,3.75305419367218,-0.0866805025412197,-0.0995534501045321,0.578703703703704,TRUE,NA,"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","nominal","ar_high","isi_mid","amp_none","h1_r3_c2",NA
1,"fmrilss_oasis_best",0.308638942783309,2.55408559316853,-0.181278404813896,-0.0394092796810911,0.615740740740741,TRUE,NA,"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","nominal","ar_high","isi_mid","amp_none","h1_r3_c2","fmrilss_oasis[fractional|x=0.01|b=0.05]"
1,"st_default",0.297036502032433,0.95203394820502,-0.956599733612995,0.00813212659184334,0.613425925925926,TRUE,NA,"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","nominal","ar_high","isi_sparse","amp_mod","h1_r3_c3",NA
1,"fmrilss_lss",0.236601885427848,2.71796973395849,-0.327471460205342,0.098150276081025,0.56712962962963,TRUE,NA,"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","nominal","ar_high","isi_sparse","amp_mod","h1_r3_c3",NA
1,"hrfals_fastlss[r]",0.257598848014936,2.54123570109115,-0.361326677126613,0.158632442740839,0.578703703703704,TRUE,NA,"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","nominal","ar_high","isi_sparse","amp_mod","h1_r3_c3",NA
1,"hrfals_fastlss[cpp]",0.257598848014936,2.54123570109115,-0.361326677126614,0.158632442740839,0.578703703703704,TRUE,NA,"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","nominal","ar_high","isi_sparse","amp_mod","h1_r3_c3",NA
1,"hrfals_fit[ls_svd_only]",0.107175484785215,1.01582682898644,-0.949165529763496,-0.00147631062402117,0.527777777777778,TRUE,NA,"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","nominal","ar_high","isi_sparse","amp_mod","h1_r3_c3",NA
1,"hrfals_fit[ls_svd_1als]",0.146172499591324,1.48842639305401,-0.823354772943822,0.15639675271357,0.560185185185185,TRUE,NA,"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","nominal","ar_high","isi_sparse","amp_mod","h1_r3_c3",NA
1,"hrfals_fit[cf_als]",0.146172499591324,1.48842439685702,-0.823355270997826,0.156398663071314,0.560185185185185,TRUE,NA,"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","nominal","ar_high","isi_sparse","amp_mod","h1_r3_c3",NA
1,"fmrilss_sbhm",0.184491279635749,4.02792043657835,-0.29312357478553,0.117821666580869,0.5625,TRUE,NA,"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","nominal","ar_high","isi_sparse","amp_mod","h1_r3_c3",NA
1,"fmrilss_oasis_best",0.238701865691316,2.55012953524047,-0.364343096880768,0.0921077338473791,0.569444444444444,TRUE,NA,"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","nominal","ar_high","isi_sparse","amp_mod","h1_r3_c3","fmrilss_oasis[fractional|x=0.05|b=0.05]"
