"method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","success_rate","scenario"
"fmrilss_sbhm",8,0.205110766296651,0.19996591081233,0.0821638088331157,11.6978938916329,10.6847692072036,5.59924950019126,1,"baseline__sbhm_lss1"
"st_default",8,0.628344291016692,0.633355750562946,0.0217613902642081,0.796842623399009,0.794554138478931,0.0258749577711822,1,"baseline__sbhm_lss1"
"fmrilss_lss",8,0.622242812097377,0.623950948357639,0.0216145961363442,1.34581138961099,1.3291377527544,0.0577350357503151,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0.01|b=0.01]",8,0.622254465588322,0.623986639819456,0.0216204915752006,1.32957235271983,1.31305415812434,0.0566564765547671,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0.01|b=0.02]",8,0.62225746679976,0.623993893660771,0.0216224025086511,1.32934300708565,1.3128640412649,0.0565347020184282,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0.01|b=0.05]",8,0.622266361225276,0.624015467608134,0.0216280903791517,1.32866194404705,1.31231498032156,0.0561728175883095,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0.01|b=0]",8,0.622251445952228,0.623979354393782,0.0216185730829748,1.32980287346785,1.31324528861518,0.056778830136848,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0.02|b=0.01]",8,0.62226272482627,0.624014257553982,0.0216243782539953,1.31404983504659,1.29823035236809,0.0557245130546744,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0.02|b=0.02]",8,0.622265694910809,0.62402146142325,0.021626279448803,1.31382587134497,1.29805388515438,0.0556041271247059,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0.02|b=0.05]",8,0.622274496997102,0.624042886811746,0.0216319383538342,1.31316081138989,1.2975300018391,0.0552463650050713,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0.02|b=0]",8,0.622259736492815,0.624007022329058,0.0216224695425574,1.31427494982627,1.29840774964773,0.0558454706971794,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0.05|b=0.01]",8,0.622285601336126,0.624092957159624,0.021635579619845,1.27020085119842,1.25659483643348,0.0530606877136527,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0.05|b=0.02]",8,0.622288484202198,0.624100019387698,0.0216374527227748,1.26999183427464,1.25638811098567,0.0529443471378532,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0.05|b=0.05]",8,0.622297027558633,0.624121023693288,0.0216430280764024,1.26937121596353,1.25578838244636,0.0525985958655456,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0.05|b=0]",8,0.622282700714812,0.624085864223049,0.0216336991221574,1.27041095205183,1.2568026633355,0.0531775788989568,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0|b=0.01]",8,0.622245864147799,0.623958285465523,0.0216165246063119,1.34557524507663,1.32894120152203,0.0576112633494014,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0|b=0.02]",8,0.622248897591806,0.62396559075339,0.0216184454745686,1.34534030059005,1.32874568761172,0.0574880774869883,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0|b=0.05]",8,0.622257887637887,0.62398731764187,0.0216241628943235,1.34464258904318,1.32816530043458,0.0571220035323777,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0|b=0]",8,0.622242812097377,0.623950948357639,0.0216145961363442,1.34581138961099,1.3291377527544,0.0577350357503151,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[fractional|x=0.01|b=0.01]",8,0.622270234008694,0.624024387807479,0.0216306758484362,1.32938164251256,1.313070118919,0.0560550692151359,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[fractional|x=0.01|b=0.02]",8,0.622288840387732,0.624070012559382,0.021642732506082,1.32794657994399,1.31192446920596,0.055291471973964,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[fractional|x=0.01|b=0.05]",8,0.622340486076152,0.624199596569253,0.0216771436719889,1.32391095583376,1.30874343585517,0.0531344490635139,1,"baseline__sbhm_oasis_voxel"
