"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate","regime","lag","widen"
"medium__lag2__widen2","hrfals_fit[ls_svd_only]",20,0.0751252874997447,0.0626548172911276,0.0480135207656565,1.10900487748995,1.10428049502856,0.0564136870260134,-0.970247703207593,-0.97063878396238,0.0201873591819765,0.970247703207593,-0.000414405619888501,0.00214983921027035,0.0242903504149738,0.0191095758042687,0.521527777777778,0.524305555555556,0.0233555523252397,1,"medium",2,2
"medium__lag2__widen1","fmrilss_sbhm",20,0.384886717418198,0.394415719738697,0.0379172340924717,3.32163608449653,3.36353143213902,0.299801892082887,0.336434949336104,0.33392064917035,0.189849932780458,0.336434949336104,0.0158729421707037,0.0448738018962,0.0720133158896422,0.0608011002623659,0.625694444444444,0.625,0.0172425287439965,1,"medium",2,1
"medium__lag2__widen1","hrfals_fastlss[cpp]",20,0.331117791167438,0.341260490210378,0.0468741679919889,2.25988370388217,2.27365689378097,0.17389623137265,-0.246164484367859,-0.242596741640427,0.130193811841253,0.246164484367859,0.0318477292755202,0.0376440353941799,0.119313903367797,0.102512576223886,0.611111111111111,0.612268518518519,0.0290967710416123,1,"medium",2,1
"medium__lag2__widen1","hrfals_fastlss[r]",20,0.331117791167438,0.341260490210378,0.046874167991989,2.25988370388217,2.27365689378097,0.17389623137265,-0.246164484367858,-0.242596741640426,0.130193811841254,0.246164484367858,0.0318477292755202,0.0376440353941802,0.119313903367797,0.102512576223886,0.611111111111111,0.612268518518519,0.0290967710416123,1,"medium",2,1
"medium__lag2__widen1","fmrilss_oasis[fractional|x=0.05|b=0.05]",20,0.329383135924157,0.341493721695893,0.0435920615396968,2.19481475270738,2.21914827286171,0.166638750393424,-0.257365529735989,-0.259306614329505,0.119111299586863,0.257365529735989,0.00546893150114697,0.000537534356700114,0.0563116934451262,0.0486795417400925,0.609027777777778,0.611111111111111,0.0301150763209712,1,"medium",2,1
"medium__lag2__widen1","fmrilss_lss",20,0.329004301927221,0.34116359836849,0.0433739054658384,2.30899216909716,2.33466492215504,0.177908108004914,-0.217241314956275,-0.219577983536023,0.125181548709337,0.219195967880411,0.00421061672220242,-0.00100263530932809,0.0567575558625338,0.0496296312636896,0.609027777777778,0.609953703703704,0.0299460368874032,1,"medium",2,1
"medium__lag2__widen1","st_default",20,0.307382261999656,0.312200897491334,0.0542225425326334,1.05056747714775,1.04589111121411,0.0549824187410066,-0.805978083143538,-0.805940424869865,0.0375420801412784,0.805978083143538,0.00946803301138232,0.0100124366911573,0.0302089424674107,0.0258338461378557,0.599189814814815,0.599537037037037,0.031652611859383,1,"medium",2,1
"medium__lag2__widen1","hrfals_fit[cf_als]",20,0.119953134497608,0.112773111745182,0.0720558610648991,1.38082559346396,1.36534063422484,0.0869047521316673,-0.878155069189663,-0.88049624468173,0.0754047798189043,0.878155069189663,0.0205259589474514,0.0030919682481042,0.0823659418626646,0.0613116341220408,0.545717592592593,0.547453703703704,0.0276339988360076,1,"medium",2,1
"medium__lag2__widen1","hrfals_fit[ls_svd_1als]",20,0.119953134497608,0.112773111745182,0.0720558610648991,1.38082645478449,1.36534574117349,0.0869021603935318,-0.87815275226292,-0.880493131750876,0.0754051515976725,0.87815275226292,0.0205263055692562,0.0030922619100755,0.0823663086770837,0.0613116402747526,0.545717592592593,0.547453703703704,0.0276339988360076,1,"medium",2,1
"medium__lag2__widen1","hrfals_fit[ls_svd_only]",20,0.0446337632830343,0.0387054070186946,0.0664353836167158,1.09857624153645,1.08624677891298,0.0674244544725311,-0.983966498735262,-0.991145465801924,0.0246772249381938,0.983966498735262,0.00811599309374768,0.00969326085471806,0.0183287689647041,0.0159851185555045,0.513194444444444,0.511574074074074,0.0332925283598113,1,"medium",2,1
"medium__lag2__widen0","fmrilss_sbhm",20,0.391585599018036,0.393710298832429,0.0381616776502803,3.21004594370393,3.21496582754105,0.2239814525782,0.317804339848855,0.355001546435291,0.161268346511411,0.317804339848855,0.013754875472008,0.010052556418456,0.083083562790764,0.06860067108029,0.622800925925926,0.623842592592593,0.0218375964296767,1,"medium",2,0
"medium__lag2__widen0","hrfals_fastlss[r]",20,0.344289577136543,0.34623462056563,0.0416843291584637,2.19367224189342,2.2175445255127,0.121350211878125,-0.235226230958997,-0.217350251725212,0.103048603303628,0.235226230958997,0.0164082533449035,0.0117176841955569,0.14432739679012,0.1234378220456,0.605092592592593,0.604166666666667,0.0196762842531298,1,"medium",2,0
"medium__lag2__widen0","hrfals_fastlss[cpp]",20,0.344289577136543,0.346234620565629,0.0416843291584637,2.19367224189341,2.2175445255127,0.121350211878125,-0.235226230958997,-0.217350251725213,0.103048603303628,0.235226230958997,0.0164082533449034,0.0117176841955569,0.14432739679012,0.1234378220456,0.605092592592593,0.604166666666667,0.0196762842531298,1,"medium",2,0
"medium__lag2__widen0","fmrilss_oasis[fractional|x=0.05|b=0.05]",20,0.343075372440866,0.351090750658767,0.0425303115937022,2.11439945622608,2.10050180447838,0.126486639808317,-0.251052043955343,-0.226063595196208,0.103889322156881,0.251052043955343,0.00622763481449987,0.011421579061502,0.0699687964814001,0.0598424675561157,0.607291666666667,0.612268518518519,0.0243623443141721,1,"medium",2,0
"medium__lag2__widen0","fmrilss_lss",20,0.342829146614288,0.350926825678595,0.0425640936493634,2.22080738067811,2.2058533980384,0.135006399396631,-0.211307073126011,-0.18501717681494,0.109548099333049,0.21159896801628,0.0060922826915513,0.0129523139684848,0.0703317144060737,0.0599554730216786,0.605902777777778,0.611111111111111,0.0247710233562455,1,"medium",2,0
