"rep","method","cor","rmse","slope_bias","intercept_bias","sign_acc","ok","message","scenario","regime","lag","widen"
2,"fmrilss_sbhm",0.24743023917838,2.57887450823246,-0.395593296923735,-0.00227343380948571,0.599537037037037,TRUE,NA,"medium__lag2__widen1","medium",2,1
1,"st_default",0.218015445533215,1.09995873652468,-0.971430767348108,-0.00810240669730303,0.62962962962963,TRUE,NA,"medium__lag2__widen2","medium",2,2
1,"fmrilss_lss",0.231058600865318,2.52499170462445,-0.387137364939101,-0.0311699077883216,0.611111111111111,TRUE,NA,"medium__lag2__widen2","medium",2,2
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.230579548509605,2.39398696619592,-0.423007537014179,-0.0327857292847838,0.606481481481482,TRUE,NA,"medium__lag2__widen2","medium",2,2
1,"fmrilss_sbhm",0.131648657726862,3.22919556720245,-0.679971909831484,0.090579500720385,0.548611111111111,TRUE,NA,"medium__lag2__widen2","medium",2,2
2,"st_default",0.237435030072113,1.00972542309492,-0.961126268166483,0.00740258951555236,0.601851851851852,TRUE,NA,"medium__lag2__widen2","medium",2,2
2,"fmrilss_lss",0.230558585866485,2.47406524239535,-0.418243235345161,-0.0228885255446331,0.592592592592593,TRUE,NA,"medium__lag2__widen2","medium",2,2
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.230718767788325,2.34542831299638,-0.450278144206755,-0.0143024295652783,0.594907407407407,TRUE,NA,"medium__lag2__widen2","medium",2,2
2,"fmrilss_sbhm",0.186195971340058,2.6850384502579,-0.566272798664817,-0.0450897319280826,0.574074074074074,TRUE,NA,"medium__lag2__widen2","medium",2,2
1,"st_default",0.230849773555515,1.0105171344889,-0.940582437553703,0.00209865482922096,0.601851851851852,TRUE,NA,"medium__lag3__widen0","medium",3,0
1,"fmrilss_lss",0.229945175921042,2.35832049045163,-0.455904933243992,0.0434575109482974,0.601851851851852,TRUE,NA,"medium__lag3__widen0","medium",3,0
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.0966903549503853,2.91694072067733,-0.724890834839479,0.0458259718205641,0.541666666666667,TRUE,NA,"medium__lag3__widen0","medium",3,0
1,"fmrilss_sbhm",0.343528009869483,2.40732244493068,-0.170757241064218,0.0975852166603612,0.611111111111111,TRUE,NA,"medium__lag3__widen0","medium",3,0
2,"st_default",0.20686926249457,1.00966803525033,-0.962188293317363,-0.00153837274079603,0.560185185185185,TRUE,NA,"medium__lag3__widen0","medium",3,0
2,"fmrilss_lss",0.214273809554661,2.53432151105697,-0.452299798618774,0.0434848783243408,0.555555555555556,TRUE,NA,"medium__lag3__widen0","medium",3,0
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.171505539148566,2.99973634441509,-0.447938638078454,-0.0238904905014378,0.571759259259259,TRUE,NA,"medium__lag3__widen0","medium",3,0
2,"fmrilss_sbhm",0.334306116975126,2.39886424822908,-0.182813942078484,0.014784979088516,0.613425925925926,TRUE,NA,"medium__lag3__widen0","medium",3,0
1,"st_default",0.167085304601188,1.01139918276278,-0.966134452196204,-0.00185383626323555,0.571759259259259,TRUE,NA,"medium__lag3__widen1","medium",3,1
1,"fmrilss_lss",0.191144032040071,2.82097138982535,-0.417581274763594,0.0523313330919356,0.543981481481482,TRUE,NA,"medium__lag3__widen1","medium",3,1
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.0900572139311594,2.54691107887289,-0.797254058975087,-0.0162972354111828,0.541666666666667,TRUE,NA,"medium__lag3__widen1","medium",3,1
1,"fmrilss_sbhm",0.351793064563126,2.66964218261006,-0.0742559994695714,-0.0150816835620735,0.590277777777778,TRUE,NA,"medium__lag3__widen1","medium",3,1
2,"st_default",0.212943296155645,0.902002836238538,-0.963873047688263,0.0253642655562684,0.5625,TRUE,NA,"medium__lag3__widen1","medium",3,1
2,"fmrilss_lss",0.242011674868492,2.44593213102812,-0.306579258173257,0.0932157863842057,0.569444444444444,TRUE,NA,"medium__lag3__widen1","medium",3,1
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.0959832924678299,2.64317132788793,-0.737016789088923,0.0683201378956492,0.518518518518518,TRUE,NA,"medium__lag3__widen1","medium",3,1
2,"fmrilss_sbhm",0.241151309927596,2.19264991984562,-0.340956070333175,0.086967867269797,0.543981481481482,TRUE,NA,"medium__lag3__widen1","medium",3,1
1,"st_default",0.206117563067886,0.899395691144427,-0.950184052892065,0.0268968745064433,0.576388888888889,TRUE,NA,"medium__lag3__widen2","medium",3,2
1,"fmrilss_lss",0.246658530364654,2.49688061853893,-0.328522972713088,-0.0599609297150671,0.585648148148148,TRUE,NA,"medium__lag3__widen2","medium",3,2
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.100324329199205,2.98553107507786,-0.69535155064508,-0.0334496415126912,0.537037037037037,TRUE,NA,"medium__lag3__widen2","medium",3,2
1,"fmrilss_sbhm",0.232935977275957,3.12762909513559,-0.2343741530122,-0.00929413515595849,0.5625,TRUE,NA,"medium__lag3__widen2","medium",3,2
2,"st_default",0.232349566591918,1.01011775010633,-0.974524034228988,0.00541449065658055,0.583333333333333,TRUE,NA,"medium__lag3__widen2","medium",3,2
2,"fmrilss_lss",0.201253486769224,3.1256054387504,-0.315127969375403,0.062139631922209,0.590277777777778,TRUE,NA,"medium__lag3__widen2","medium",3,2
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.102653614355628,3.10256591219131,-0.693662317859196,0.00592168051113133,0.537037037037037,TRUE,NA,"medium__lag3__widen2","medium",3,2
2,"fmrilss_sbhm",0.204405000452451,3.3915676443029,-0.278961134482849,0.122405140991117,0.56712962962963,TRUE,NA,"medium__lag3__widen2","medium",3,2
1,"st_default",0.333844512337736,1.08634510924605,-0.971216351919368,0.0067917028846445,0.618055555555556,TRUE,NA,"hard__lag0__widen0","hard",0,0
1,"fmrilss_lss",0.333455604028252,3.61024136540977,0.22947992219749,-0.0284565350320033,0.636574074074074,TRUE,NA,"hard__lag0__widen0","hard",0,0
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.190683176381942,4.29191911613139,-0.163064301748717,-0.00596114904762173,0.576388888888889,TRUE,NA,"hard__lag0__widen0","hard",0,0
1,"fmrilss_sbhm",0.199978688027223,3.45319964236538,-0.185969027645988,0.0414713525434445,0.576388888888889,TRUE,NA,"hard__lag0__widen0","hard",0,0
2,"st_default",0.293816305365614,1.08808878231469,-0.964842485762077,0.000673297466164396,0.604166666666667,TRUE,NA,"hard__lag0__widen0","hard",0,0
2,"fmrilss_lss",0.292622691352298,2.54452647670889,-0.270296601994287,0.0565794900261902,0.564814814814815,TRUE,NA,"hard__lag0__widen0","hard",0,0
2,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.225205689760983,3.48707595067073,-0.255352071178645,0.0324033243029651,0.585648148148148,TRUE,NA,"hard__lag0__widen0","hard",0,0
2,"fmrilss_sbhm",0.236654204647527,3.01744270932776,-0.343157519408943,0.0710264970881225,0.5625,TRUE,NA,"hard__lag0__widen0","hard",0,0
1,"st_default",0.204208214405443,1.10007355028697,-0.978875716919333,-0.001490329424637,0.587962962962963,TRUE,NA,"hard__lag0__widen1","hard",0,1
1,"fmrilss_lss",0.244309799438973,2.62820809605215,-0.375633275482534,0.0387642072794876,0.569444444444444,TRUE,NA,"hard__lag0__widen1","hard",0,1
1,"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.16436845585224,3.34174861945868,-0.496384273282985,0.011301993024888,0.56712962962963,TRUE,NA,"hard__lag0__widen1","hard",0,1
1,"fmrilss_sbhm",0.138524078287388,3.07183203019594,-0.637753742169368,0.000835248831703791,0.55787037037037,TRUE,NA,"hard__lag0__widen1","hard",0,1
