"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate","oasis_variant"
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","fmrilss_oasis_best",6,0.353913955709349,0.3802769600684,0.0519262745526192,2.21071871505113,2.20461647257873,0.145288447119405,-0.226571682115176,-0.196775378156619,0.13739071665167,0.226571682115176,0.00198598704148726,-0.00738215398610395,0.0334505212010933,0.02390779318862,0.60841049382716,0.609953703703704,0.0159984799375106,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","fmrilss_sbhm",6,0.380271189211563,0.399439581701937,0.0437819469538825,3.14450674848833,2.77502202737198,0.765508028717333,-0.0873277930584164,-0.0837192397032103,0.116546668871384,0.113552279249177,0.0135607547852975,0.0364159309246324,0.0798224807888458,0.0651391886288985,0.581018518518518,0.577546296296296,0.0118937338691343,1,NA
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","fmrilss_lss",6,0.378775609488051,0.37594456460846,0.0422604875625242,2.5836423663773,2.37521656805997,0.462947146231975,-0.208363638455525,-0.176179088235239,0.0783116376063238,0.208363638455525,-0.00727009149668322,-0.0110991422578594,0.0410431271366062,0.0294932228271155,0.599922839506173,0.601851851851852,0.0298751641733565,1,NA
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","st_default",6,0.374247604570205,0.37640023819689,0.0619388870480255,1.29510924456948,1.22120491430929,0.221093948168009,-0.889826823902383,-0.908128699146685,0.0624017093763389,0.889826823902383,-0.000458631772253557,0.00799010216847179,0.0304971536711243,0.0207837305883027,0.601851851851852,0.606481481481481,0.0315698650393191,1,NA
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","fmrilss_oasis_best",6,0.379301535856904,0.376437046251703,0.0422342313951334,2.45184578144734,2.2576809301857,0.435395907149038,-0.250117846896506,-0.220055816896086,0.07390732102967,0.250117846896506,-0.00794567806120972,-0.00871626621449662,0.0459140312695544,0.0322859559207542,0.603395061728395,0.603009259259259,0.0312514288653673,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","fmrilss_lss",6,0.240786926082449,0.233518631551561,0.0409705809693892,3.22134117203735,3.20346003947696,0.311779510741386,-0.22767952581953,-0.232161680247985,0.186137302854838,0.22767952581953,0.00891756699604785,0.0155197927085474,0.038201880986932,0.0291622645427642,0.582175925925926,0.579861111111111,0.026504376919384,1,NA
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","fmrilss_sbhm",6,0.232789252887129,0.236902098382112,0.0534814061799774,3.50933167641999,3.52073252852425,0.436198999174313,-0.246068524446226,-0.22507891311058,0.162479596086858,0.246068524446226,-0.0123220894117202,-0.0128037440128203,0.0638211315481362,0.0435323844500892,0.57445987654321,0.571759259259259,0.031208534446745,1,NA
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","st_default",6,0.224597176518562,0.214076058553776,0.0414645179465213,1.06921186619458,1.07626303313779,0.0540571800102062,-0.954090972891475,-0.972902543061877,0.040045698825022,0.954090972891475,-0.00638040824193638,-0.00511300642840224,0.0198084124033469,0.0159377454160529,0.582561728395062,0.583333333333333,0.0322637911233281,1,NA
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","fmrilss_oasis_best",6,0.241039252770353,0.233383218759865,0.0408055356890163,3.00567302860204,2.99055420608583,0.288234071721977,-0.279804980924416,-0.281930089126878,0.172683465665286,0.279804980924416,0.00469426629709422,0.00951406966271924,0.0428314107430167,0.0296041596909237,0.586805555555556,0.586805555555556,0.0294536876942917,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h2_r2_c2__hrf_lag2_widen1p5__ar_mod__isi_mid__amp_high","st_default",6,0.301619055457411,0.295500004849891,0.0413003433178228,1.22947557769168,1.25163434800412,0.0969147467262546,-0.92682888827383,-0.955677354095351,0.0516718237440857,0.92682888827383,-0.0021766136918602,-0.00117288501181524,0.0237187856969843,0.017674116245412,0.583333333333333,0.581018518518519,0.0180496191570536,1,NA
